robot Perseverance
0.1 2.0 1.0 -0.4
0.0920 -0.5300
0.1520 -0.3400
0.3920 -0.1000
0.4860 -0.3000
0.2320 -0.2800
0.5080 0.0000
0.4220 0.4200
0.2580 0.6400
0.4540 0.8600
0.1760 1.2800
0.0100 1.2200
0.3060 1.2300
0.4380 1.2100
0.1180 1.3700
0.3860 1.2000
0.0800 0.8500
0.2780 0.4100
0.6040 0.1200
0.7820 0.3800
0.6560 0.8000
0.8180 0.2800
0.7620 0.8300
0.5100 0.5700
0.6960 1.1400
0.5640 1.5600
0.6560 1.2400
0.5360 0.7100
0.8380 1.2600
0.8860 0.7800
0.6480 0.5400
0.9780 1.0200
1.3520 0.5200
1.5160 0.4700
1.5580 0.3400
1.4060 0.8700
1.0960 1.4200
1.2220 1.1600
0.9720 1.1200
0.8120 1.3500
